FAMILIAR,UNFAMILIAR
all pearls are gems,all quartzes are gems
all oaks are trees,all sycamores are trees
all guns are weapons,all plovers are birds
all boardshorts are pants,all tangerines are fruit
all bananas are fruit,all katanas are weapons
all flies are insects,all cicadas are insects
all magpies are birds,all plimsoles are shoes
all rabbits are mammals,all raccoons are mammals
all nikes are shoes,all knickers are pants
all drums are instruments,all lutes are instruments
all eagles are birds,all coyotes are mammals
all flutes are instruments,all hickories are trees
all sandals are shoes,all molotovs are weapons
all lions are mammals,all weevils are insects
"all grasshoppers are insects	",all sitars are instruments
all opals are gems,all moccasins are shoes
all swords are weapons,all pantaloons are pants
all gums are trees,all quinces are fruit
all pineapples are fruit,all amethysts are gems
all leggings are pants,all starlings are birds
all pines are trees,all rambutans are fruit
all trumpets are instruments,all dungarees are pants
all cockatoos are birds,all cutlasses are weapons
all mosquitoes are insects,all slaters are insects
all joggers are shoes,all tapirs are mammals
all horses are mammals,all cymbals are instruments
all daggers are weapons,all ospreys are birds
all grapes are fruit,all poplars are trees
all chinos are pants,all stilettos are shoes
all rubies are gems,all zircons are gems
all clarinets are instruments,all timpanis are drums
all pigeons are birds,all earwigs are insects
all sapphires are gems,all nunchucks are weapons
all bombs are weapons,all galoshes are shoes
all whales are mammals,all jodhpurs are pants
all spruces are trees,all topazes are gems
all ants are insects,all pomelos are fruit
all trousers are pants,all junipers are trees
all pears are fruit,all wrens are birds
all gumboots are shoes,all bilbies are mammals
all volleys are shoes,all garnets are gems
all elephants are mammals,all locusts are insects
all guitars are instruments,all scimitars are weapons
all emeralds are gems,all guavas are fruit
all seagulls are birds,all espadrilles are shoes
all apples are fruit,all cedars are trees
all maples are trees,all galahs are birds
all missiles are weapons,all lemmings are mammals
all jeans are pants,all khakis are pants
all cockroaches are insects,all bugles are instruments
all uggs are shoes,all aphids are insects
all robins are birds,all dugongs are mammals
all rifles are weapons,all mandolins are instruments
all oranges are fruit,all loafers are shoes
all bears are mammals,all kestrels are birds
all pianos are instruments,all bazookas are weapons
all overalls are pants,all durians are fruit
all beetles are insects,all breeches are pants
all redwoods are trees,all larches are trees
all diamonds are gems,all citrines are gems
