FA1,FA2,FB1,FB2,UA1,UA2,UB1,UB2
all em_______  are gems,all sp_______  are trees,all pi_______  are trees,all op_______  are gems,all hi_______  are trees,all to_______  are gems,all sy_______  are trees,all ju_______  are trees
all di_______  are gems,all oa_______  are trees,all em_______  are gems,all pi_______  are trees,all zi_______  are gems,all ce_______  are trees,all po_______  are trees,all qu_______  are gems
all bo_______  are pants,all gu_______  are weapons,all ba_______  are fruit,all sa_______  are shoes,all ka_______  are weapons,all pl_______  are birds,all ta_______  are fruit,all pl_______  are shoes
all ma_______  are birds,all ea_______  are birds,all fl_______  are insects,all pi_______  are fruit,all co_______  are mammals,all ra_______  are mammals,all ci_______  are insects,all we_______  are insects
all ra_______  are mammals,all le_______  are pants,all ni_______  are shoes,all tr_______  are instruments,all st_______  are birds,all kn_______  are pants,all lu_______  are instruments,all si_______  are instruments
all oa_______  are trees,all pe_______  are gems,all ru_______  are gems,all sa_______  are gems,all ga_______  are gems,all ga_______  are gems,all am_______  are gems,all po_______  are trees
all bo_______  are pants,all gu_______  are weapons,all ba_______  are fruit,all sa_______  are shoes,all ka_______  are weapons,all pl_______  are birds,all ta_______  are fruit,all pl_______  are shoes
all ma_______  are birds,all ea_______  are birds,all fl_______  are insects,all pi_______  are fruit,all co_______  are mammals,all ra_______  are mammals,all ci_______  are insects,all we_______  are insects
all ra_______  are mammals,all le_______  are pants,all ni_______  are shoes,all tr_______  are instruments,all st_______  are birds,all kn_______  are pants,all lu_______  are instruments,all si_______  are instruments
all sw_______  are weapons,all co_______  are birds,all dr_______  are instruments,all mo_______  are insects,all du_______  are pants,al mo_______  are weapons,all cy_______  are instruments,all mo_______  are shoes
all se_______  are birds,all da_______  are weapons,all fl_______  are instruments,all jo_______  are shoes,all os_______  are birds,all pa_______  are pants,all ga_______  are shoes,all qu_______  are fruit
all ch_______  are pants,all wh_______  are mammals,all gr_______  are insects,all gr_______  are fruit,all nu_______  are weapons,all cu_______  are weapons,all po_______  are fruit,all ra_______  are fruit
all ma_______  are trees,all di_______  are gems,all re_______  are trees,all gu_______  are trees,all ce_______  are trees,all la_______  are trees,all ci_______  are gems,all am_______  are gems
all sw_______  are weapons,all co_______  are birds,all dr_______  are instruments,all mo_______  are insects,all du_______  are pants,all mo_______  are weapons,all cy_______  are instruments,all mo_______  are shoes
all se_______  are birds,all da_______  are weapons,all fl_______  are instruments,all jo_______  are shoes,all os_______  are birds,all pa_______  are pants,all ga_______  are shoes,all qu_______  are fruit
all ch_______  are pants,all wh_______  are mammals,all gr_______  are insects,all gr_______  are fruit,all nu_______  are weapons,all cu_______  are weapons,all po_______  are fruit,all ra_______  are fruit
all bo_______  are pants,all gu_______  are weapons,all ba_______  are fruit,all sa_______  are shoes,all ka_______  are weapons,all pl_______  are birds,all ta_______  are fruit,all pl_______  are shoes
all ma_______  are birds,all ea_______  are birds,all fl_______  are insects,all pi_______  are fruit,all co_______  are mammals,all ra_______  are mammals,all ci_______  are insects,all we_______  are insects
all ra_______  are mammals,all le_______  are pants,all ni_______  are shoes,all tr_______  are instruments,all st_______  are birds,all kn_______  are pants,all lu_______  are instruments,all si_______  are instruments
all em_______  are gems,all sp_______  are trees,all pi_______  are trees,all op_______  are gems,all hi_______  are trees,all to_______  are gems,all sy_______  are trees,all ju_______  are trees
all oa_______  are trees,all pe_______  are gems,all ru_______  are gems,all sa_______  are gems,all ga_______  are gems,all ga_______  are gems,all am_______  are gems,all po_______  are trees
all ri_______  are weapons,all tr_______  are pants,all an_______  are insects,all cl_______  are instruments,all wr_______  are birds,all ta_______  are mammals,all lo_______  are insects,all sl_______  are insects
all ov_______  are pants,all el_______  are mammals,all pe_______  are fruit,all gu_______  are shoes,all le_______  are mammals,all jo_______  are pants,all gu_______  are fruit,all st_______  are shoes
all sw_______  are weapons,all co_______  are birds,all dr_______  are instruments,all mo_______  are insects,all du_______  are pants,all mo_______  are weapons,all cy_______  are instruments,all mo_______  are shoes
all se_______  are birds,all da_______  are weapons,all fl_______  are instruments,all jo_______  are shoes,all os_______  are birds,all pa_______  are pants,all ga_______  are shoes,all qu_______  are fruit
all ch_______  are pants,all wh_______  are mammals,all gr_______  are insects,all gr_______  are fruit,all nu_______  are weapons,all cu_______  are weapons,all po_______  are fruit,all ra_______  are fruit
all ri_______  are weapons,all tr_______  are pants,all an_______  are insects,all cl_______  are instruments,all wr_______  are birds,all ta_______  are mammals,all lo_______  are insects,all sl_______  are insects
all ov_______  are pants,all el_______  are mammals,all pe_______  are fruit,all gu_______  are shoes,all le_______  are mammals,all jo_______  are pants,all gu_______  are fruit,all st_______  are shoes
all pi_______  are birds,all be_______  are mammals,all vo_______  are shoes,all gu_______  are instruments,all kh_______  are pants,all bi_______  are mammals,all es_______  are shoes,all ti_______  are instruments
all ho_______  are mammals,all mi_______  are weapons,all ap_______  are fruit,all co_______  are insects,all du_______  are mammals,all sc_______  are weapons,all ap_______  are insects,all ea_______  are insects
all bo_______  are weapons,all je_______  are pants,all ug_______  are shoes,all or_______  are fruit,all ba_______  are weapons,all ga_______  are birds,all ma_______  are instruments,all bu_______  are instruments
all li_______  are mammals,all ro_______  are birds,all pi_______  are instruments,all be_______  are insects,all br_______  are pants,all ke_______  are birds,all lo_______  are shoes,all du_______  are fruit
all pi_______  are birds,all be_______  are mammals,all vo_______  are shoes,all gu_______  are instruments,all kh_______  are pants,all bi_______  are mammals,all es_______  are shoes,all ti_______  are instruments
all ho_______  are mammals,all mi_______  are weapons,all ap_______  are fruit,all co_______  are insects,all du_______  are mammals,all sc_______  are weapons,all ap_______  are insects,all ea_______  are insects
all bo_______  are weapons,all je_______  are pants,all ug_______  are shoes,all or_______  are fruit,all ba_______  are weapons,all ga_______  are birds,all ma_______  are instruments,all bu_______  are instruments
all li_______  are mammals,all ro_______  are birds,all pi_______  are instruments,all be_______  are insects,all br_______  are pants,all ke_______  are birds,all lo_______  are shoes,all du_______  are fruit
all ri_______  are weapons,all tr_______  are pants,all an_______  are insects,all cl_______  are instruments,all wr_______  are birds,all ta_______  are mammals,all lo_______  are insects,all sl_______  are insects
